cost,episode
85,0
73,1
66,2
50,3
50,4
89,5
51,6
3,7
53,8
3,9
104,10
141,11
50,12
52,13
50,14
103,15
50,16
79,17
79,18
50,19
126,20
52,21
77,22
83,23
74,24
50,25
80,26
121,27
50,28
50,29
145,30
65,31
50,32
105,33
50,34
1,35
50,36
1,37
54,38
7,39
63,40
1,41
11,42
7,43
5,44
63,45
50,46
9,47
57,48
3,49
50,50
91,51
21,52
61,53
78,54
57,55
7,56
53,57
3,58
53,59
1,60
3,61
15,62
56,63
50,64
50,65
1,66
3,67
50,68
1,69
65,70
50,71
52,72
52,73
53,74
1,75
7,76
3,77
96,78
57,79
1,80
3,81
3,82
63,83
52,84
1,85
1,86
50,87
68,88
35,89
75,90
51,91
59,92
88,93
119,94
7,95
119,96
3,97
19,98
17,99
1,100
50,101
63,102
58,103
64,104
51,105
25,106
55,107
1,108
57,109
1,110
52,111
65,112
15,113
9,114
7,115
50,116
50,117
56,118
55,119
115,120
1,121
9,122
58,123
56,124
56,125
52,126
93,127
9,128
35,129
52,130
47,131
99,132
56,133
52,134
53,135
107,136
50,137
53,138
31,139
7,140
91,141
52,142
54,143
5,144
55,145
50,146
47,147
59,148
69,149
25,150
84,151
5,152
59,153
66,154
50,155
59,156
19,157
53,158
57,159
3,160
60,161
67,162
89,163
77,164
53,165
21,166
50,167
102,168
50,169
1,170
83,171
88,172
23,173
77,174
104,175
17,176
71,177
89,178
57,179
15,180
35,181
58,182
55,183
63,184
58,185
55,186
31,187
111,188
85,189
50,190
3,191
54,192
67,193
50,194
55,195
59,196
3,197
89,198
77,199
57,200
39,201
3,202
63,203
50,204
50,205
69,206
73,207
54,208
1,209
65,210
9,211
71,212
50,213
5,214
53,215
53,216
79,217
54,218
73,219
50,220
167,221
73,222
64,223
67,224
59,225
7,226
55,227
9,228
55,229
98,230
78,231
54,232
66,233
67,234
33,235
23,236
3,237
59,238
53,239
7,240
77,241
54,242
3,243
64,244
52,245
3,246
104,247
19,248
54,249
54,250
11,251
9,252
5,253
9,254
145,255
52,256
54,257
3,258
90,259
3,260
176,261
1,262
71,263
9,264
58,265
95,266
11,267
21,268
56,269
55,270
78,271
70,272
61,273
84,274
55,275
87,276
139,277
1,278
85,279
50,280
59,281
81,282
59,283
111,284
79,285
23,286
80,287
5,288
7,289
21,290
56,291
5,292
52,293
61,294
52,295
71,296
143,297
5,298
110,299
63,300
65,301
111,302
61,303
52,304
19,305
67,306
248,307
5,308
51,309
58,310
60,311
52,312
66,313
63,314
71,315
54,316
52,317
54,318
151,319
127,320
52,321
92,322
63,323
11,324
52,325
27,326
117,327
70,328
9,329
7,330
79,331
56,332
96,333
59,334
79,335
5,336
69,337
52,338
53,339
5,340
58,341
73,342
78,343
7,344
76,345
3,346
43,347
53,348
7,349
84,350
101,351
53,352
37,353
122,354
91,355
97,356
89,357
52,358
105,359
9,360
74,361
61,362
53,363
69,364
41,365
87,366
55,367
21,368
5,369
52,370
52,371
63,372
53,373
64,374
13,375
104,376
29,377
55,378
60,379
93,380
54,381
58,382
101,383
1,384
15,385
54,386
29,387
64,388
87,389
89,390
52,391
68,392
57,393
78,394
83,395
89,396
81,397
77,398
31,399
85,400
27,401
35,402
56,403
69,404
107,405
15,406
52,407
15,408
53,409
65,410
7,411
25,412
101,413
54,414
7,415
54,416
67,417
