cost,episode
61,0
56,1
90,2
132,3
54,4
51,5
6,6
2,7
57,8
6,9
58,10
82,11
62,12
2,13
51,14
30,15
56,16
6,17
36,18
28,19
51,20
51,21
38,22
51,23
70,24
6,25
101,26
51,27
4,28
66,29
51,30
51,31
51,32
51,33
100,34
51,35
53,36
54,37
55,38
14,39
57,40
51,41
51,42
59,43
88,44
51,45
4,46
2,47
51,48
6,49
4,50
64,51
53,52
51,53
52,54
30,55
51,56
51,57
63,58
2,59
68,60
20,61
51,62
54,63
51,64
51,65
67,66
58,67
57,68
53,69
51,70
60,71
61,72
51,73
54,74
51,75
51,76
51,77
2,78
8,79
53,80
51,81
4,82
6,83
58,84
51,85
77,86
51,87
52,88
56,89
2,90
4,91
51,92
2,93
54,94
44,95
51,96
26,97
51,98
118,99
50,100
51,101
51,102
52,103
8,104
4,105
51,106
55,107
52,108
51,109
2,110
51,111
51,112
26,113
56,114
51,115
98,116
158,117
51,118
51,119
22,120
51,121
70,122
55,123
10,124
52,125
18,126
60,127
51,128
4,129
51,130
22,131
56,132
22,133
4,134
51,135
53,136
6,137
51,138
55,139
52,140
58,141
51,142
55,143
52,144
64,145
57,146
54,147
51,148
51,149
16,150
4,151
51,152
92,153
56,154
54,155
51,156
54,157
51,158
51,159
4,160
51,161
92,162
51,163
55,164
53,165
51,166
90,167
6,168
51,169
58,170
157,171
52,172
101,173
51,174
51,175
61,176
80,177
51,178
12,179
72,180
53,181
164,182
4,183
51,184
51,185
51,186
51,187
67,188
51,189
62,190
206,191
8,192
56,193
2,194
51,195
51,196
55,197
51,198
97,199
51,200
38,201
63,202
53,203
6,204
51,205
68,206
53,207
51,208
51,209
51,210
52,211
113,212
4,213
20,214
52,215
2,216
51,217
52,218
2,219
55,220
100,221
18,222
51,223
51,224
6,225
51,226
51,227
4,228
6,229
69,230
56,231
53,232
58,233
51,234
51,235
93,236
51,237
56,238
51,239
51,240
4,241
63,242
76,243
48,244
51,245
96,246
63,247
59,248
51,249
55,250
6,251
51,252
2,253
51,254
67,255
6,256
54,257
2,258
62,259
55,260
51,261
24,262
26,263
51,264
91,265
51,266
56,267
51,268
58,269
51,270
8,271
59,272
8,273
8,274
51,275
82,276
51,277
148,278
91,279
51,280
63,281
65,282
4,283
16,284
62,285
14,286
57,287
52,288
51,289
52,290
22,291
51,292
53,293
116,294
4,295
51,296
51,297
48,298
8,299
76,300
51,301
56,302
51,303
34,304
96,305
2,306
52,307
61,308
51,309
2,310
51,311
51,312
2,313
2,314
52,315
104,316
2,317
55,318
16,319
52,320
53,321
79,322
141,323
51,324
2,325
51,326
51,327
4,328
16,329
51,330
54,331
14,332
51,333
2,334
51,335
14,336
51,337
46,338
51,339
121,340
59,341
51,342
61,343
51,344
51,345
10,346
58,347
51,348
56,349
57,350
12,351
56,352
51,353
52,354
85,355
54,356
2,357
55,358
80,359
51,360
44,361
51,362
2,363
52,364
51,365
51,366
4,367
51,368
77,369
54,370
51,371
70,372
51,373
122,374
26,375
52,376
4,377
62,378
113,379
59,380
51,381
51,382
4,383
51,384
93,385
51,386
106,387
52,388
51,389
53,390
4,391
51,392
52,393
92,394
2,395
62,396
58,397
51,398
62,399
56,400
51,401
53,402
53,403
62,404
51,405
51,406
57,407
34,408
48,409
55,410
97,411
51,412
60,413
61,414
57,415
52,416
51,417
51,418
52,419
10,420
51,421
54,422
70,423
59,424
192,425
51,426
2,427
51,428
51,429
2,430
51,431
51,432
51,433
56,434
102,435
71,436
52,437
40,438
2,439
51,440
42,441
91,442
51,443
2,444
53,445
61,446
51,447
52,448
51,449
57,450
52,451
57,452
56,453
51,454
18,455
51,456
51,457
18,458
2,459
4,460
110,461
51,462
2,463
97,464
75,465
66,466
51,467
53,468
51,469
72,470
51,471
51,472
58,473
84,474
22,475
51,476
6,477
51,478
20,479
56,480
53,481
214,482
52,483
51,484
51,485
66,486
75,487
51,488
51,489
59,490
53,491
48,492
54,493
51,494
51,495
51,496
92,497
51,498
51,499
53,500
4,501
103,502
2,503
4,504
60,505
60,506
51,507
4,508
51,509
4,510
57,511
52,512
68,513
51,514
102,515
10,516
51,517
51,518
2,519
16,520
56,521
101,522
51,523
67,524
34,525
6,526
71,527
57,528
2,529
60,530
70,531
58,532
51,533
88,534
51,535
51,536
56,537
51,538
4,539
51,540
100,541
34,542
86,543
4,544
51,545
71,546
4,547
129,548
76,549
51,550
52,551
51,552
51,553
51,554
102,555
66,556
54,557
2,558
106,559
28,560
98,561
51,562
4,563
51,564
86,565
51,566
54,567
70,568
51,569
51,570
48,571
4,572
100,573
82,574
66,575
51,576
52,577
34,578
56,579
51,580
118,581
52,582
66,583
59,584
4,585
51,586
51,587
8,588
56,589
2,590
55,591
204,592
62,593
20,594
51,595
2,596
72,597
18,598
51,599
52,600
40,601
51,602
75,603
51,604
64,605
2,606
52,607
48,608
2,609
71,610
150,611
2,612
51,613
4,614
6,615
2,616
96,617
4,618
51,619
54,620
8,621
56,622
57,623
56,624
51,625
14,626
51,627
53,628
81,629
62,630
4,631
51,632
94,633
68,634
58,635
12,636
96,637
51,638
51,639
72,640
61,641
28,642
