cost,episode
376,0
377,1
368,2
351,3
79,4
234,5
433,6
224,7
196,8
203,9
349,10
395,11
374,12
120,13
26,14
404,15
173,16
328,17
326,18
326,19
306,20
180,21
79,22
89,23
56,24
340,25
28,26
84,27
100,28
399,29
54,30
231,31
30,32
27,33
75,34
385,35
83,36
116,37
124,38
159,39
148,40
88,41
298,42
326,43
309,44
105,45
61,46
258,47
55,48
75,49
186,50
24,51
83,52
56,53
28,54
24,55
83,56
67,57
37,58
308,59
76,60
21,61
134,62
102,63
28,64
14,65
23,66
51,67
91,68
171,69
70,70
80,71
26,72
96,73
31,74
18,75
32,76
84,77
74,78
48,79
195,80
326,81
33,82
25,83
61,84
47,85
62,86
16,87
31,88
44,89
22,90
30,91
16,92
32,93
209,94
137,95
85,96
137,97
43,98
100,99
28,100
295,101
96,102
22,103
31,104
118,105
125,106
47,107
40,108
47,109
55,110
166,111
24,112
233,113
18,114
38,115
103,116
168,117
18,118
27,119
38,120
104,121
12,122
57,123
97,124
72,125
43,126
12,127
81,128
87,129
136,130
144,131
16,132
90,133
28,134
23,135
51,136
32,137
102,138
67,139
10,140
121,141
147,142
133,143
50,144
178,145
60,146
75,147
176,148
129,149
35,150
14,151
60,152
105,153
26,154
51,155
21,156
74,157
44,158
79,159
33,160
32,161
153,162
30,163
62,164
13,165
85,166
16,167
57,168
64,169
46,170
67,171
18,172
66,173
28,174
44,175
97,176
22,177
54,178
99,179
40,180
12,181
19,182
14,183
241,184
39,185
30,186
53,187
126,188
27,189
28,190
74,191
52,192
23,193
56,194
130,195
41,196
18,197
51,198
10,199
208,200
107,201
47,202
17,203
177,204
67,205
26,206
34,207
65,208
32,209
28,210
53,211
66,212
113,213
80,214
52,215
93,216
19,217
26,218
177,219
32,220
67,221
110,222
20,223
36,224
85,225
71,226
91,227
40,228
138,229
127,230
35,231
91,232
6,233
32,234
83,235
21,236
43,237
62,238
40,239
42,240
105,241
24,242
25,243
28,244
26,245
16,246
100,247
28,248
21,249
48,250
39,251
47,252
114,253
39,254
33,255
26,256
35,257
85,258
62,259
16,260
77,261
32,262
52,263
69,264
18,265
91,266
10,267
126,268
46,269
91,270
32,271
27,272
108,273
34,274
15,275
14,276
32,277
25,278
42,279
20,280
61,281
10,282
40,283
10,284
12,285
36,286
86,287
29,288
21,289
61,290
22,291
51,292
51,293
16,294
49,295
57,296
35,297
41,298
61,299
34,300
18,301
64,302
63,303
10,304
6,305
76,306
89,307
30,308
82,309
33,310
32,311
57,312
26,313
54,314
30,315
32,316
33,317
26,318
8,319
12,320
19,321
13,322
83,323
32,324
19,325
67,326
25,327
55,328
10,329
15,330
43,331
42,332
31,333
69,334
23,335
126,336
19,337
40,338
27,339
22,340
20,341
37,342
47,343
36,344
19,345
52,346
62,347
21,348
179,349
42,350
78,351
24,352
97,353
14,354
38,355
44,356
16,357
48,358
10,359
50,360
22,361
19,362
8,363
17,364
62,365
12,366
11,367
50,368
30,369
20,370
61,371
21,372
21,373
36,374
15,375
34,376
58,377
13,378
39,379
14,380
30,381
8,382
105,383
57,384
14,385
118,386
44,387
55,388
37,389
29,390
59,391
68,392
30,393
22,394
76,395
10,396
20,397
41,398
21,399
26,400
22,401
31,402
51,403
10,404
24,405
16,406
18,407
12,408
10,409
8,410
43,411
14,412
67,413
14,414
84,415
25,416
109,417
62,418
47,419
80,420
12,421
17,422
42,423
50,424
17,425
140,426
66,427
23,428
12,429
49,430
41,431
37,432
36,433
36,434
25,435
28,436
54,437
39,438
12,439
6,440
10,441
23,442
19,443
16,444
34,445
19,446
50,447
11,448
55,449
40,450
12,451
44,452
25,453
22,454
52,455
24,456
25,457
31,458
6,459
32,460
24,461
12,462
32,463
29,464
19,465
43,466
23,467
38,468
19,469
28,470
44,471
90,472
53,473
18,474
24,475
42,476
20,477
26,478
110,479
51,480
16,481
27,482
24,483
32,484
62,485
24,486
10,487
24,488
58,489
30,490
101,491
8,492
75,493
51,494
6,495
36,496
48,497
28,498
17,499
34,500
40,501
34,502
8,503
16,504
82,505
16,506
12,507
36,508
8,509
30,510
29,511
70,512
17,513
15,514
27,515
31,516
39,517
15,518
37,519
45,520
19,521
12,522
21,523
24,524
29,525
34,526
8,527
42,528
42,529
18,530
39,531
26,532
13,533
10,534
18,535
18,536
10,537
10,538
29,539
16,540
19,541
17,542
60,543
27,544
8,545
13,546
17,547
19,548
81,549
15,550
20,551
14,552
10,553
62,554
55,555
42,556
20,557
29,558
34,559
29,560
19,561
116,562
20,563
41,564
12,565
32,566
23,567
10,568
24,569
43,570
24,571
23,572
6,573
37,574
46,575
10,576
26,577
38,578
32,579
23,580
20,581
39,582
28,583
10,584
34,585
8,586
10,587
19,588
30,589
21,590
22,591
22,592
10,593
48,594
24,595
11,596
12,597
34,598
22,599
22,600
48,601
35,602
16,603
14,604
20,605
18,606
12,607
31,608
21,609
19,610
12,611
26,612
21,613
19,614
30,615
29,616
22,617
65,618
21,619
31,620
27,621
14,622
16,623
8,624
6,625
18,626
17,627
42,628
49,629
10,630
49,631
33,632
17,633
12,634
15,635
27,636
47,637
6,638
17,639
24,640
16,641
29,642
40,643
15,644
16,645
23,646
13,647
55,648
28,649
13,650
34,651
24,652
39,653
16,654
46,655
36,656
39,657
8,658
21,659
56,660
15,661
23,662
61,663
6,664
62,665
34,666
30,667
25,668
10,669
26,670
29,671
70,672
16,673
21,674
10,675
19,676
26,677
20,678
77,679
53,680
25,681
19,682
14,683
8,684
29,685
23,686
16,687
36,688
34,689
29,690
12,691
28,692
32,693
29,694
21,695
30,696
29,697
15,698
41,699
26,700
18,701
22,702
15,703
52,704
12,705
6,706
71,707
20,708
29,709
24,710
8,711
28,712
30,713
8,714
123,715
12,716
8,717
40,718
36,719
17,720
40,721
30,722
37,723
8,724
14,725
6,726
12,727
23,728
27,729
17,730
39,731
10,732
32,733
23,734
10,735
22,736
6,737
67,738
36,739
20,740
14,741
18,742
26,743
18,744
32,745
48,746
12,747
6,748
52,749
53,750
24,751
26,752
44,753
18,754
12,755
10,756
32,757
20,758
13,759
33,760
15,761
16,762
21,763
20,764
49,765
26,766
13,767
16,768
42,769
48,770
28,771
16,772
20,773
11,774
17,775
19,776
40,777
32,778
31,779
13,780
8,781
17,782
35,783
6,784
14,785
47,786
13,787
28,788
15,789
43,790
20,791
8,792
6,793
22,794
12,795
25,796
10,797
20,798
16,799
29,800
14,801
22,802
8,803
25,804
29,805
40,806
24,807
23,808
16,809
8,810
15,811
44,812
18,813
16,814
45,815
24,816
33,817
18,818
8,819
23,820
8,821
26,822
6,823
13,824
28,825
14,826
6,827
26,828
18,829
10,830
12,831
34,832
53,833
17,834
10,835
31,836
12,837
24,838
19,839
16,840
16,841
28,842
10,843
83,844
43,845
10,846
67,847
103,848
47,849
14,850
63,851
45,852
21,853
40,854
19,855
35,856
6,857
30,858
10,859
11,860
23,861
8,862
19,863
16,864
22,865
26,866
14,867
40,868
14,869
24,870
17,871
22,872
8,873
17,874
49,875
19,876
10,877
32,878
13,879
19,880
37,881
19,882
18,883
59,884
29,885
25,886
41,887
8,888
15,889
25,890
26,891
16,892
19,893
15,894
21,895
35,896
12,897
17,898
32,899
32,900
22,901
17,902
6,903
19,904
14,905
24,906
21,907
32,908
27,909
14,910
18,911
16,912
12,913
16,914
8,915
29,916
38,917
16,918
44,919
14,920
10,921
12,922
28,923
16,924
14,925
18,926
10,927
18,928
31,929
62,930
35,931
22,932
24,933
21,934
26,935
30,936
12,937
15,938
20,939
35,940
6,941
15,942
41,943
43,944
34,945
8,946
16,947
13,948
12,949
15,950
47,951
25,952
21,953
13,954
19,955
22,956
16,957
50,958
32,959
11,960
