cost,episode
20,0
347,1
251,2
355,3
356,4
349,5
297,6
369,7
260,8
446,9
10,10
312,11
359,12
340,13
201,14
372,15
39,16
181,17
156,18
351,19
244,20
339,21
362,22
213,23
288,24
260,25
44,26
377,27
321,28
24,29
125,30
283,31
56,32
368,33
163,34
231,35
36,36
268,37
296,38
2,39
419,40
60,41
181,42
334,43
363,44
190,45
12,46
18,47
64,48
124,49
61,50
162,51
4,52
144,53
10,54
334,55
313,56
170,57
90,58
234,59
389,60
359,61
182,62
8,63
362,64
6,65
84,66
352,67
302,68
6,69
333,70
220,71
139,72
111,73
202,74
318,75
14,76
86,77
67,78
307,79
340,80
412,81
168,82
367,83
171,84
2,85
336,86
115,87
25,88
42,89
73,90
155,91
303,92
339,93
323,94
381,95
54,96
323,97
57,98
66,99
24,100
28,101
121,102
34,103
245,104
6,105
47,106
40,107
212,108
22,109
307,110
88,111
346,112
309,113
106,114
10,115
8,116
285,117
136,118
345,119
132,120
37,121
18,122
301,123
351,124
191,125
288,126
338,127
367,128
315,129
145,130
6,131
314,132
394,133
235,134
18,135
72,136
91,137
273,138
114,139
279,140
178,141
22,142
74,143
4,144
244,145
331,146
306,147
18,148
382,149
340,150
4,151
297,152
359,153
313,154
64,155
382,156
281,157
67,158
6,159
195,160
94,161
102,162
14,163
356,164
328,165
297,166
89,167
2,168
193,169
347,170
292,171
104,172
102,173
289,174
289,175
325,176
348,177
291,178
6,179
75,180
168,181
155,182
2,183
16,184
6,185
22,186
124,187
146,188
310,189
329,190
58,191
368,192
6,193
183,194
72,195
293,196
38,197
222,198
108,199
14,200
325,201
353,202
102,203
150,204
6,205
217,206
130,207
139,208
110,209
101,210
202,211
58,212
4,213
303,214
102,215
89,216
2,217
91,218
78,219
290,220
14,221
24,222
16,223
40,224
19,225
93,226
77,227
202,228
301,229
142,230
100,231
126,232
289,233
90,234
2,235
4,236
135,237
85,238
4,239
255,240
17,241
12,242
38,243
55,244
215,245
50,246
69,247
4,248
184,249
30,250
8,251
319,252
58,253
47,254
30,255
195,256
2,257
8,258
96,259
225,260
82,261
2,262
190,263
58,264
80,265
291,266
302,267
80,268
98,269
211,270
60,271
131,272
43,273
213,274
2,275
30,276
142,277
12,278
2,279
6,280
149,281
278,282
302,283
247,284
149,285
38,286
117,287
14,288
37,289
159,290
182,291
18,292
235,293
72,294
118,295
179,296
222,297
45,298
320,299
4,300
4,301
32,302
205,303
26,304
10,305
89,306
79,307
105,308
2,309
22,310
10,311
141,312
