cost,episode
368,0
76,1
297,2
309,3
18,4
6,5
48,6
27,7
157,8
291,9
281,10
130,11
299,12
22,13
138,14
76,15
72,16
100,17
28,18
192,19
123,20
58,21
24,22
56,23
124,24
229,25
29,26
160,27
192,28
55,29
20,30
39,31
58,32
26,33
73,34
81,35
29,36
127,37
160,38
77,39
52,40
144,41
8,42
34,43
232,44
25,45
45,46
111,47
89,48
161,49
103,50
73,51
50,52
45,53
50,54
47,55
45,56
116,57
45,58
26,59
34,60
58,61
24,62
16,63
84,64
12,65
18,66
88,67
38,68
37,69
14,70
49,71
19,72
18,73
42,74
45,75
64,76
96,77
43,78
16,79
89,80
70,81
79,82
44,83
62,84
57,85
14,86
12,87
21,88
55,89
49,90
55,91
16,92
16,93
132,94
75,95
67,96
23,97
42,98
148,99
57,100
29,101
72,102
56,103
68,104
28,105
28,106
40,107
30,108
56,109
47,110
73,111
82,112
51,113
24,114
23,115
19,116
39,117
44,118
16,119
46,120
16,121
85,122
22,123
28,124
16,125
28,126
6,127
4,128
46,129
24,130
40,131
47,132
50,133
26,134
35,135
75,136
22,137
25,138
12,139
31,140
77,141
83,142
16,143
41,144
14,145
10,146
14,147
95,148
41,149
16,150
16,151
53,152
25,153
33,154
42,155
45,156
18,157
16,158
33,159
18,160
45,161
29,162
26,163
26,164
40,165
35,166
16,167
52,168
24,169
76,170
34,171
35,172
33,173
20,174
27,175
28,176
44,177
27,178
25,179
22,180
18,181
46,182
84,183
16,184
32,185
44,186
36,187
22,188
57,189
17,190
86,191
10,192
75,193
22,194
22,195
63,196
8,197
17,198
22,199
23,200
31,201
61,202
10,203
39,204
21,205
24,206
112,207
42,208
33,209
40,210
55,211
26,212
54,213
73,214
12,215
10,216
41,217
28,218
18,219
88,220
32,221
26,222
67,223
42,224
16,225
27,226
60,227
29,228
26,229
78,230
71,231
48,232
16,233
4,234
45,235
22,236
33,237
26,238
44,239
24,240
14,241
6,242
23,243
27,244
10,245
45,246
29,247
19,248
6,249
56,250
14,251
16,252
16,253
25,254
16,255
10,256
65,257
12,258
4,259
30,260
28,261
46,262
31,263
103,264
16,265
33,266
61,267
54,268
20,269
21,270
40,271
17,272
14,273
34,274
20,275
45,276
16,277
21,278
28,279
40,280
25,281
24,282
24,283
16,284
113,285
10,286
6,287
44,288
31,289
51,290
16,291
14,292
19,293
16,294
32,295
60,296
19,297
18,298
37,299
8,300
12,301
20,302
42,303
112,304
44,305
12,306
19,307
21,308
92,309
42,310
17,311
10,312
22,313
12,314
16,315
19,316
21,317
4,318
48,319
24,320
15,321
14,322
11,323
12,324
6,325
30,326
28,327
24,328
34,329
16,330
19,331
14,332
19,333
75,334
40,335
53,336
39,337
31,338
29,339
20,340
14,341
28,342
12,343
24,344
27,345
24,346
22,347
28,348
21,349
20,350
22,351
53,352
26,353
134,354
8,355
22,356
10,357
16,358
16,359
10,360
43,361
40,362
30,363
26,364
14,365
95,366
45,367
8,368
21,369
44,370
10,371
12,372
21,373
10,374
10,375
13,376
53,377
24,378
20,379
41,380
34,381
37,382
8,383
22,384
28,385
24,386
23,387
96,388
10,389
46,390
4,391
29,392
36,393
22,394
15,395
37,396
41,397
40,398
15,399
33,400
22,401
14,402
51,403
8,404
20,405
44,406
26,407
16,408
43,409
102,410
13,411
45,412
35,413
47,414
46,415
24,416
4,417
35,418
10,419
4,420
18,421
21,422
14,423
22,424
12,425
20,426
22,427
74,428
49,429
28,430
36,431
36,432
19,433
20,434
16,435
54,436
29,437
28,438
14,439
32,440
14,441
36,442
20,443
50,444
18,445
12,446
64,447
20,448
49,449
14,450
16,451
11,452
8,453
34,454
21,455
12,456
18,457
20,458
50,459
24,460
40,461
23,462
17,463
46,464
20,465
15,466
41,467
36,468
9,469
64,470
10,471
29,472
65,473
20,474
6,475
70,476
10,477
43,478
62,479
12,480
15,481
38,482
21,483
44,484
26,485
33,486
18,487
16,488
32,489
15,490
22,491
26,492
16,493
34,494
16,495
35,496
21,497
27,498
6,499
14,500
43,501
22,502
23,503
10,504
17,505
24,506
41,507
6,508
20,509
16,510
36,511
32,512
30,513
20,514
39,515
16,516
18,517
32,518
10,519
14,520
49,521
23,522
13,523
37,524
40,525
56,526
15,527
18,528
16,529
25,530
18,531
16,532
4,533
40,534
39,535
68,536
40,537
14,538
51,539
59,540
25,541
8,542
10,543
16,544
20,545
14,546
16,547
8,548
30,549
8,550
32,551
47,552
14,553
19,554
12,555
58,556
23,557
32,558
10,559
12,560
14,561
23,562
20,563
43,564
54,565
10,566
28,567
47,568
22,569
14,570
14,571
24,572
15,573
27,574
51,575
21,576
26,577
15,578
21,579
46,580
22,581
70,582
28,583
10,584
19,585
8,586
36,587
10,588
6,589
16,590
24,591
16,592
19,593
37,594
19,595
20,596
12,597
19,598
28,599
13,600
31,601
13,602
22,603
24,604
6,605
6,606
37,607
25,608
16,609
41,610
16,611
17,612
24,613
28,614
22,615
74,616
18,617
40,618
6,619
34,620
15,621
44,622
17,623
17,624
29,625
16,626
15,627
51,628
12,629
12,630
40,631
31,632
28,633
14,634
11,635
53,636
17,637
15,638
24,639
24,640
22,641
21,642
14,643
12,644
24,645
10,646
83,647
13,648
70,649
26,650
14,651
14,652
28,653
34,654
22,655
65,656
16,657
19,658
6,659
35,660
26,661
18,662
4,663
10,664
10,665
8,666
38,667
68,668
15,669
8,670
6,671
12,672
36,673
18,674
24,675
27,676
51,677
14,678
32,679
42,680
12,681
45,682
21,683
24,684
10,685
34,686
20,687
26,688
21,689
22,690
8,691
24,692
28,693
28,694
21,695
8,696
20,697
36,698
24,699
10,700
19,701
21,702
43,703
20,704
23,705
34,706
14,707
44,708
6,709
25,710
18,711
11,712
10,713
10,714
21,715
8,716
18,717
30,718
22,719
10,720
14,721
22,722
16,723
25,724
28,725
27,726
10,727
19,728
12,729
8,730
14,731
46,732
46,733
31,734
25,735
13,736
33,737
40,738
6,739
17,740
12,741
39,742
20,743
26,744
10,745
31,746
14,747
38,748
10,749
24,750
33,751
10,752
22,753
4,754
15,755
52,756
16,757
22,758
10,759
27,760
6,761
15,762
60,763
37,764
14,765
10,766
35,767
20,768
19,769
16,770
10,771
18,772
22,773
4,774
14,775
17,776
16,777
26,778
18,779
10,780
20,781
8,782
52,783
17,784
22,785
32,786
58,787
72,788
30,789
16,790
8,791
22,792
14,793
14,794
8,795
10,796
10,797
20,798
6,799
27,800
14,801
19,802
8,803
8,804
12,805
10,806
22,807
15,808
41,809
10,810
17,811
18,812
14,813
20,814
17,815
8,816
38,817
18,818
25,819
15,820
15,821
37,822
22,823
8,824
16,825
36,826
16,827
25,828
12,829
11,830
23,831
34,832
16,833
12,834
21,835
19,836
14,837
6,838
12,839
10,840
23,841
34,842
8,843
15,844
16,845
20,846
20,847
14,848
22,849
29,850
29,851
19,852
14,853
14,854
14,855
10,856
47,857
13,858
23,859
28,860
20,861
28,862
16,863
23,864
18,865
11,866
19,867
56,868
29,869
16,870
10,871
8,872
12,873
18,874
16,875
16,876
20,877
41,878
20,879
6,880
15,881
18,882
12,883
22,884
18,885
25,886
29,887
28,888
8,889
22,890
26,891
17,892
12,893
11,894
8,895
29,896
10,897
12,898
10,899
26,900
25,901
18,902
13,903
47,904
18,905
13,906
32,907
26,908
14,909
19,910
14,911
8,912
65,913
10,914
14,915
32,916
6,917
24,918
8,919
28,920
12,921
21,922
31,923
24,924
21,925
16,926
27,927
14,928
39,929
36,930
10,931
36,932
19,933
20,934
24,935
6,936
17,937
14,938
10,939
16,940
10,941
12,942
28,943
11,944
14,945
10,946
33,947
9,948
17,949
41,950
36,951
8,952
6,953
30,954
28,955
14,956
26,957
59,958
36,959
15,960
16,961
16,962
8,963
18,964
27,965
20,966
11,967
13,968
14,969
11,970
10,971
10,972
13,973
18,974
35,975
22,976
33,977
22,978
41,979
10,980
18,981
15,982
19,983
23,984
12,985
35,986
19,987
20,988
16,989
34,990
8,991
8,992
10,993
19,994
19,995
20,996
6,997
20,998
18,999
22,1000
25,1001
40,1002
17,1003
8,1004
14,1005
34,1006
10,1007
22,1008
13,1009
18,1010
38,1011
14,1012
9,1013
69,1014
10,1015
14,1016
30,1017
51,1018
49,1019
12,1020
48,1021
33,1022
13,1023
23,1024
14,1025
36,1026
26,1027
26,1028
22,1029
29,1030
19,1031
16,1032
28,1033
8,1034
28,1035
29,1036
16,1037
10,1038
15,1039
22,1040
8,1041
16,1042
20,1043
8,1044
10,1045
16,1046
8,1047
19,1048
25,1049
38,1050
18,1051
8,1052
12,1053
6,1054
21,1055
6,1056
20,1057
16,1058
14,1059
14,1060
6,1061
12,1062
23,1063
39,1064
12,1065
14,1066
12,1067
36,1068
6,1069
16,1070
11,1071
14,1072
19,1073
31,1074
12,1075
21,1076
8,1077
40,1078
12,1079
12,1080
19,1081
10,1082
13,1083
14,1084
30,1085
12,1086
20,1087
18,1088
19,1089
13,1090
18,1091
10,1092
12,1093
12,1094
22,1095
8,1096
16,1097
14,1098
6,1099
18,1100
32,1101
24,1102
44,1103
10,1104
57,1105
26,1106
23,1107
14,1108
38,1109
16,1110
22,1111
14,1112
45,1113
4,1114
28,1115
13,1116
10,1117
42,1118
14,1119
26,1120
6,1121
14,1122
24,1123
24,1124
8,1125
8,1126
12,1127
26,1128
21,1129
17,1130
28,1131
8,1132
24,1133
38,1134
11,1135
14,1136
14,1137
10,1138
11,1139
10,1140
10,1141
8,1142
24,1143
14,1144
33,1145
26,1146
12,1147
18,1148
43,1149
13,1150
54,1151
6,1152
12,1153
19,1154
61,1155
15,1156
29,1157
8,1158
22,1159
12,1160
20,1161
8,1162
10,1163
8,1164
6,1165
8,1166
24,1167
16,1168
8,1169
23,1170
25,1171
21,1172
34,1173
18,1174
14,1175
16,1176
12,1177
41,1178
8,1179
12,1180
28,1181
12,1182
47,1183
51,1184
12,1185
30,1186
59,1187
17,1188
44,1189
6,1190
14,1191
22,1192
10,1193
14,1194
16,1195
14,1196
6,1197
12,1198
18,1199
30,1200
20,1201
72,1202
8,1203
18,1204
24,1205
18,1206
14,1207
13,1208
18,1209
38,1210
21,1211
8,1212
12,1213
4,1214
16,1215
10,1216
22,1217
16,1218
16,1219
8,1220
6,1221
6,1222
29,1223
19,1224
10,1225
24,1226
18,1227
6,1228
10,1229
21,1230
23,1231
23,1232
12,1233
8,1234
44,1235
19,1236
24,1237
27,1238
10,1239
14,1240
13,1241
36,1242
20,1243
17,1244
12,1245
16,1246
17,1247
6,1248
36,1249
10,1250
32,1251
8,1252
23,1253
29,1254
15,1255
14,1256
26,1257
80,1258
12,1259
13,1260
28,1261
29,1262
19,1263
8,1264
21,1265
6,1266
12,1267
8,1268
6,1269
6,1270
10,1271
22,1272
15,1273
6,1274
15,1275
15,1276
10,1277
14,1278
32,1279
14,1280
10,1281
10,1282
10,1283
24,1284
10,1285
18,1286
10,1287
23,1288
16,1289
28,1290
15,1291
10,1292
26,1293
18,1294
36,1295
18,1296
28,1297
12,1298
14,1299
16,1300
12,1301
20,1302
16,1303
8,1304
12,1305
15,1306
8,1307
10,1308
18,1309
6,1310
11,1311
19,1312
6,1313
4,1314
8,1315
29,1316
22,1317
26,1318
55,1319
34,1320
15,1321
17,1322
19,1323
8,1324
22,1325
16,1326
15,1327
13,1328
12,1329
37,1330
33,1331
13,1332
12,1333
20,1334
4,1335
20,1336
20,1337
37,1338
6,1339
8,1340
6,1341
12,1342
12,1343
44,1344
29,1345
25,1346
15,1347
14,1348
11,1349
26,1350
12,1351
21,1352
22,1353
36,1354
12,1355
31,1356
24,1357
28,1358
12,1359
19,1360
19,1361
10,1362
15,1363
8,1364
10,1365
22,1366
23,1367
28,1368
12,1369
18,1370
8,1371
33,1372
10,1373
25,1374
10,1375
18,1376
18,1377
8,1378
28,1379
20,1380
22,1381
20,1382
32,1383
10,1384
34,1385
24,1386
16,1387
26,1388
14,1389
28,1390
28,1391
33,1392
30,1393
36,1394
16,1395
17,1396
19,1397
8,1398
27,1399
10,1400
29,1401
8,1402
26,1403
20,1404
25,1405
14,1406
15,1407
12,1408
14,1409
18,1410
17,1411
11,1412
8,1413
14,1414
19,1415
36,1416
6,1417
12,1418
24,1419
34,1420
12,1421
10,1422
42,1423
23,1424
10,1425
22,1426
17,1427
19,1428
26,1429
11,1430
14,1431
6,1432
33,1433
8,1434
29,1435
14,1436
16,1437
14,1438
14,1439
42,1440
12,1441
24,1442
14,1443
34,1444
14,1445
25,1446
10,1447
11,1448
32,1449
22,1450
17,1451
28,1452
16,1453
10,1454
16,1455
14,1456
16,1457
6,1458
8,1459
8,1460
24,1461
16,1462
20,1463
19,1464
10,1465
37,1466
16,1467
15,1468
18,1469
21,1470
29,1471
10,1472
16,1473
14,1474
18,1475
28,1476
19,1477
42,1478
16,1479
14,1480
29,1481
15,1482
11,1483
21,1484
8,1485
18,1486
12,1487
13,1488
16,1489
10,1490
16,1491
4,1492
25,1493
22,1494
12,1495
4,1496
8,1497
32,1498
10,1499
22,1500
13,1501
10,1502
6,1503
12,1504
27,1505
10,1506
4,1507
24,1508
10,1509
15,1510
4,1511
16,1512
12,1513
10,1514
8,1515
23,1516
12,1517
11,1518
15,1519
4,1520
15,1521
60,1522
10,1523
10,1524
17,1525
8,1526
24,1527
18,1528
15,1529
6,1530
18,1531
6,1532
18,1533
17,1534
20,1535
14,1536
10,1537
12,1538
10,1539
11,1540
10,1541
18,1542
6,1543
8,1544
6,1545
16,1546
6,1547
8,1548
13,1549
11,1550
24,1551
6,1552
8,1553
6,1554
8,1555
51,1556
12,1557
17,1558
22,1559
18,1560
10,1561
12,1562
16,1563
35,1564
10,1565
34,1566
8,1567
26,1568
14,1569
42,1570
13,1571
29,1572
18,1573
10,1574
18,1575
31,1576
8,1577
4,1578
8,1579
25,1580
10,1581
33,1582
11,1583
43,1584
10,1585
6,1586
26,1587
12,1588
16,1589
8,1590
6,1591
26,1592
13,1593
12,1594
37,1595
21,1596
16,1597
8,1598
25,1599
11,1600
8,1601
14,1602
18,1603
28,1604
20,1605
26,1606
8,1607
21,1608
31,1609
6,1610
9,1611
28,1612
12,1613
23,1614
29,1615
6,1616
23,1617
17,1618
23,1619
14,1620
13,1621
13,1622
18,1623
14,1624
12,1625
8,1626
8,1627
25,1628
16,1629
8,1630
17,1631
30,1632
14,1633
4,1634
28,1635
10,1636
8,1637
24,1638
10,1639
10,1640
4,1641
16,1642
17,1643
23,1644
16,1645
31,1646
21,1647
30,1648
20,1649
21,1650
10,1651
51,1652
13,1653
26,1654
12,1655
25,1656
11,1657
8,1658
18,1659
46,1660
11,1661
50,1662
34,1663
10,1664
25,1665
6,1666
12,1667
10,1668
6,1669
11,1670
18,1671
18,1672
19,1673
10,1674
23,1675
10,1676
28,1677
14,1678
8,1679
13,1680
8,1681
28,1682
27,1683
22,1684
30,1685
9,1686
12,1687
12,1688
17,1689
12,1690
38,1691
18,1692
10,1693
8,1694
27,1695
22,1696
22,1697
26,1698
28,1699
14,1700
20,1701
10,1702
23,1703
12,1704
8,1705
28,1706
8,1707
18,1708
12,1709
6,1710
42,1711
13,1712
6,1713
13,1714
12,1715
24,1716
6,1717
8,1718
22,1719
14,1720
6,1721
6,1722
8,1723
30,1724
19,1725
10,1726
14,1727
13,1728
10,1729
14,1730
34,1731
28,1732
20,1733
6,1734
14,1735
13,1736
10,1737
14,1738
4,1739
8,1740
14,1741
12,1742
6,1743
17,1744
26,1745
14,1746
13,1747
8,1748
13,1749
14,1750
11,1751
17,1752
8,1753
12,1754
6,1755
15,1756
8,1757
18,1758
8,1759
6,1760
17,1761
19,1762
42,1763
22,1764
14,1765
14,1766
19,1767
15,1768
18,1769
12,1770
6,1771
28,1772
8,1773
16,1774
10,1775
14,1776
19,1777
6,1778
16,1779
10,1780
44,1781
37,1782
6,1783
27,1784
24,1785
10,1786
6,1787
6,1788
4,1789
21,1790
11,1791
30,1792
26,1793
34,1794
16,1795
25,1796
18,1797
10,1798
26,1799
8,1800
12,1801
11,1802
21,1803
35,1804
20,1805
18,1806
31,1807
13,1808
17,1809
10,1810
6,1811
10,1812
18,1813
20,1814
8,1815
6,1816
14,1817
12,1818
6,1819
9,1820
19,1821
20,1822
8,1823
10,1824
8,1825
9,1826
10,1827
6,1828
13,1829
32,1830
24,1831
8,1832
31,1833
14,1834
8,1835
10,1836
10,1837
29,1838
24,1839
8,1840
39,1841
16,1842
24,1843
8,1844
10,1845
14,1846
14,1847
6,1848
6,1849
4,1850
13,1851
10,1852
16,1853
18,1854
12,1855
14,1856
12,1857
17,1858
34,1859
6,1860
11,1861
24,1862
12,1863
17,1864
14,1865
18,1866
23,1867
14,1868
6,1869
23,1870
13,1871
6,1872
16,1873
8,1874
6,1875
14,1876
4,1877
23,1878
10,1879
16,1880
8,1881
15,1882
32,1883
8,1884
16,1885
14,1886
10,1887
6,1888
17,1889
12,1890
28,1891
6,1892
20,1893
18,1894
6,1895
12,1896
22,1897
14,1898
11,1899
16,1900
15,1901
21,1902
6,1903
8,1904
8,1905
16,1906
15,1907
10,1908
23,1909
14,1910
44,1911
15,1912
23,1913
8,1914
28,1915
24,1916
4,1917
12,1918
28,1919
13,1920
6,1921
9,1922
18,1923
11,1924
4,1925
12,1926
13,1927
8,1928
10,1929
13,1930
8,1931
4,1932
8,1933
8,1934
11,1935
4,1936
25,1937
30,1938
14,1939
20,1940
6,1941
10,1942
6,1943
6,1944
12,1945
12,1946
10,1947
6,1948
14,1949
15,1950
10,1951
24,1952
8,1953
41,1954
12,1955
16,1956
8,1957
8,1958
14,1959
10,1960
19,1961
6,1962
6,1963
4,1964
10,1965
10,1966
26,1967
11,1968
10,1969
38,1970
14,1971
8,1972
46,1973
10,1974
17,1975
10,1976
14,1977
12,1978
27,1979
28,1980
8,1981
21,1982
15,1983
27,1984
8,1985
36,1986
40,1987
25,1988
4,1989
13,1990
19,1991
10,1992
23,1993
41,1994
21,1995
16,1996
11,1997
8,1998
11,1999
20,2000
4,2001
12,2002
17,2003
11,2004
10,2005
21,2006
11,2007
19,2008
8,2009
11,2010
18,2011
14,2012
14,2013
10,2014
20,2015
29,2016
24,2017
16,2018
8,2019
16,2020
30,2021
28,2022
11,2023
17,2024
16,2025
46,2026
10,2027
20,2028
16,2029
13,2030
14,2031
6,2032
18,2033
13,2034
17,2035
6,2036
16,2037
14,2038
8,2039
8,2040
10,2041
8,2042
12,2043
11,2044
14,2045
12,2046
31,2047
14,2048
12,2049
6,2050
18,2051
6,2052
8,2053
17,2054
6,2055
4,2056
14,2057
18,2058
16,2059
4,2060
15,2061
10,2062
12,2063
4,2064
18,2065
10,2066
28,2067
24,2068
12,2069
12,2070
24,2071
10,2072
16,2073
13,2074
18,2075
19,2076
19,2077
10,2078
12,2079
22,2080
20,2081
20,2082
6,2083
14,2084
14,2085
53,2086
16,2087
21,2088
20,2089
6,2090
19,2091
15,2092
10,2093
24,2094
12,2095
4,2096
32,2097
8,2098
4,2099
14,2100
15,2101
11,2102
10,2103
11,2104
14,2105
8,2106
31,2107
8,2108
10,2109
13,2110
6,2111
16,2112
10,2113
14,2114
6,2115
8,2116
16,2117
10,2118
12,2119
10,2120
23,2121
18,2122
12,2123
12,2124
21,2125
8,2126
6,2127
19,2128
12,2129
23,2130
10,2131
14,2132
6,2133
4,2134
13,2135
42,2136
8,2137
23,2138
16,2139
10,2140
18,2141
10,2142
18,2143
14,2144
6,2145
8,2146
10,2147
21,2148
10,2149
10,2150
30,2151
10,2152
12,2153
12,2154
12,2155
24,2156
12,2157
16,2158
20,2159
10,2160
8,2161
10,2162
10,2163
20,2164
12,2165
18,2166
16,2167
6,2168
28,2169
8,2170
10,2171
10,2172
33,2173
8,2174
6,2175
14,2176
16,2177
14,2178
14,2179
31,2180
17,2181
16,2182
43,2183
14,2184
13,2185
12,2186
10,2187
12,2188
18,2189
12,2190
20,2191
26,2192
20,2193
14,2194
6,2195
26,2196
17,2197
6,2198
8,2199
10,2200
8,2201
23,2202
15,2203
14,2204
10,2205
12,2206
14,2207
12,2208
6,2209
10,2210
10,2211
24,2212
14,2213
30,2214
23,2215
26,2216
14,2217
12,2218
21,2219
15,2220
20,2221
14,2222
24,2223
14,2224
10,2225
6,2226
21,2227
12,2228
10,2229
23,2230
6,2231
18,2232
14,2233
10,2234
14,2235
10,2236
21,2237
22,2238
8,2239
18,2240
11,2241
19,2242
8,2243
10,2244
19,2245
23,2246
20,2247
6,2248
8,2249
10,2250
19,2251
14,2252
11,2253
16,2254
12,2255
8,2256
14,2257
16,2258
19,2259
8,2260
10,2261
14,2262
8,2263
4,2264
8,2265
30,2266
40,2267
26,2268
14,2269
14,2270
15,2271
6,2272
39,2273
10,2274
14,2275
18,2276
23,2277
15,2278
10,2279
15,2280
13,2281
26,2282
25,2283
10,2284
8,2285
20,2286
14,2287
26,2288
21,2289
10,2290
18,2291
6,2292
8,2293
22,2294
16,2295
23,2296
6,2297
10,2298
4,2299
22,2300
10,2301
8,2302
15,2303
17,2304
24,2305
37,2306
31,2307
9,2308
18,2309
16,2310
6,2311
8,2312
6,2313
10,2314
8,2315
14,2316
12,2317
18,2318
10,2319
18,2320
10,2321
8,2322
13,2323
21,2324
6,2325
6,2326
8,2327
21,2328
11,2329
6,2330
23,2331
12,2332
16,2333
10,2334
13,2335
10,2336
6,2337
10,2338
27,2339
18,2340
8,2341
6,2342
14,2343
16,2344
32,2345
24,2346
16,2347
10,2348
24,2349
20,2350
6,2351
24,2352
28,2353
14,2354
6,2355
32,2356
10,2357
11,2358
12,2359
12,2360
8,2361
14,2362
14,2363
6,2364
8,2365
16,2366
10,2367
13,2368
17,2369
21,2370
8,2371
12,2372
6,2373
12,2374
8,2375
16,2376
19,2377
13,2378
16,2379
4,2380
14,2381
10,2382
10,2383
18,2384
43,2385
14,2386
10,2387
8,2388
14,2389
14,2390
8,2391
8,2392
12,2393
13,2394
6,2395
19,2396
10,2397
17,2398
21,2399
14,2400
15,2401
20,2402
6,2403
33,2404
11,2405
13,2406
10,2407
19,2408
18,2409
15,2410
8,2411
18,2412
14,2413
14,2414
31,2415
19,2416
14,2417
8,2418
33,2419
18,2420
11,2421
10,2422
17,2423
8,2424
21,2425
8,2426
14,2427
16,2428
8,2429
19,2430
12,2431
17,2432
16,2433
16,2434
12,2435
6,2436
18,2437
9,2438
8,2439
56,2440
14,2441
16,2442
14,2443
18,2444
4,2445
8,2446
18,2447
27,2448
14,2449
26,2450
13,2451
14,2452
16,2453
6,2454
8,2455
12,2456
12,2457
12,2458
13,2459
21,2460
8,2461
6,2462
15,2463
19,2464
12,2465
43,2466
10,2467
8,2468
11,2469
44,2470
10,2471
10,2472
10,2473
4,2474
20,2475
10,2476
20,2477
15,2478
10,2479
6,2480
12,2481
20,2482
11,2483
26,2484
6,2485
10,2486
20,2487
38,2488
18,2489
10,2490
15,2491
14,2492
24,2493
6,2494
4,2495
6,2496
13,2497
22,2498
24,2499
8,2500
12,2501
18,2502
8,2503
10,2504
12,2505
8,2506
15,2507
23,2508
4,2509
8,2510
12,2511
16,2512
13,2513
12,2514
11,2515
10,2516
13,2517
9,2518
30,2519
16,2520
22,2521
8,2522
6,2523
14,2524
32,2525
15,2526
8,2527
10,2528
6,2529
17,2530
14,2531
8,2532
8,2533
6,2534
14,2535
12,2536
24,2537
22,2538
14,2539
10,2540
8,2541
15,2542
24,2543
24,2544
10,2545
15,2546
19,2547
12,2548
17,2549
10,2550
12,2551
12,2552
24,2553
10,2554
6,2555
22,2556
20,2557
10,2558
8,2559
11,2560
22,2561
6,2562
22,2563
8,2564
26,2565
13,2566
22,2567
14,2568
18,2569
37,2570
6,2571
4,2572
13,2573
11,2574
19,2575
22,2576
10,2577
28,2578
8,2579
12,2580
10,2581
24,2582
12,2583
8,2584
6,2585
8,2586
20,2587
10,2588
