cost,episode
29,0
255,1
393,2
248,3
141,4
369,5
125,6
290,7
6,8
142,9
336,10
34,11
52,12
252,13
345,14
44,15
311,16
347,17
180,18
4,19
138,20
330,21
97,22
353,23
184,24
185,25
52,26
358,27
75,28
106,29
48,30
353,31
378,32
156,33
128,34
336,35
279,36
18,37
57,38
139,39
233,40
247,41
280,42
274,43
233,44
132,45
12,46
55,47
141,48
267,49
172,50
316,51
103,52
21,53
245,54
81,55
104,56
4,57
14,58
197,59
103,60
227,61
146,62
32,63
310,64
316,65
362,66
358,67
48,68
108,69
59,70
377,71
89,72
6,73
360,74
163,75
73,76
292,77
251,78
8,79
344,80
195,81
263,82
102,83
148,84
55,85
65,86
349,87
149,88
86,89
322,90
335,91
77,92
6,93
129,94
42,95
115,96
124,97
260,98
161,99
42,100
95,101
178,102
362,103
20,104
106,105
36,106
234,107
4,108
72,109
166,110
255,111
120,112
107,113
18,114
293,115
65,116
173,117
57,118
10,119
336,120
165,121
41,122
87,123
2,124
36,125
341,126
2,127
10,128
2,129
47,130
63,131
22,132
78,133
6,134
34,135
40,136
151,137
108,138
103,139
84,140
168,141
122,142
18,143
49,144
2,145
6,146
20,147
143,148
68,149
56,150
78,151
4,152
292,153
129,154
163,155
4,156
228,157
16,158
40,159
12,160
2,161
152,162
84,163
16,164
16,165
6,166
4,167
71,168
38,169
14,170
55,171
20,172
195,173
18,174
14,175
38,176
74,177
32,178
85,179
46,180
343,181
49,182
4,183
141,184
134,185
16,186
4,187
24,188
16,189
294,190
262,191
76,192
69,193
128,194
2,195
27,196
111,197
98,198
18,199
250,200
20,201
23,202
240,203
109,204
113,205
111,206
226,207
66,208
18,209
137,210
326,211
179,212
102,213
97,214
2,215
94,216
96,217
121,218
78,219
85,220
217,221
183,222
77,223
33,224
43,225
58,226
286,227
16,228
56,229
98,230
19,231
49,232
2,233
82,234
103,235
6,236
38,237
107,238
20,239
4,240
41,241
62,242
49,243
4,244
178,245
2,246
12,247
68,248
2,249
23,250
36,251
14,252
10,253
77,254
154,255
23,256
67,257
4,258
163,259
36,260
20,261
148,262
84,263
2,264
36,265
2,266
16,267
4,268
133,269
225,270
14,271
22,272
203,273
69,274
133,275
16,276
38,277
56,278
34,279
96,280
67,281
53,282
26,283
6,284
10,285
10,286
10,287
6,288
2,289
14,290
106,291
18,292
50,293
2,294
4,295
72,296
56,297
48,298
103,299
4,300
6,301
42,302
2,303
2,304
16,305
133,306
214,307
22,308
20,309
8,310
39,311
307,312
43,313
8,314
53,315
44,316
262,317
22,318
10,319
42,320
23,321
25,322
14,323
10,324
65,325
81,326
4,327
2,328
2,329
49,330
57,331
54,332
46,333
4,334
2,335
84,336
132,337
6,338
150,339
2,340
16,341
2,342
56,343
107,344
64,345
78,346
37,347
8,348
24,349
6,350
45,351
6,352
20,353
57,354
36,355
6,356
64,357
2,358
99,359
4,360
147,361
14,362
40,363
74,364
48,365
4,366
46,367
4,368
149,369
44,370
34,371
63,372
6,373
77,374
2,375
46,376
58,377
34,378
8,379
34,380
50,381
41,382
44,383
10,384
2,385
32,386
4,387
29,388
8,389
88,390
20,391
87,392
93,393
108,394
138,395
10,396
8,397
61,398
4,399
18,400
18,401
93,402
20,403
26,404
14,405
50,406
47,407
14,408
2,409
30,410
6,411
26,412
98,413
79,414
26,415
80,416
37,417
4,418
124,419
54,420
2,421
30,422
8,423
2,424
93,425
49,426
6,427
106,428
56,429
6,430
34,431
4,432
56,433
59,434
27,435
16,436
16,437
50,438
47,439
24,440
68,441
2,442
4,443
6,444
8,445
8,446
12,447
30,448
27,449
4,450
4,451
36,452
20,453
2,454
8,455
212,456
2,457
26,458
136,459
10,460
6,461
30,462
2,463
2,464
118,465
4,466
18,467
26,468
20,469
30,470
6,471
44,472
82,473
4,474
2,475
6,476
32,477
28,478
6,479
6,480
6,481
6,482
6,483
26,484
6,485
20,486
6,487
12,488
59,489
12,490
4,491
6,492
18,493
90,494
8,495
220,496
52,497
10,498
46,499
6,500
2,501
98,502
48,503
48,504
18,505
71,506
24,507
66,508
4,509
38,510
44,511
8,512
4,513
12,514
47,515
4,516
12,517
28,518
16,519
40,520
35,521
4,522
4,523
42,524
6,525
119,526
16,527
20,528
8,529
50,530
57,531
25,532
14,533
14,534
12,535
2,536
30,537
4,538
10,539
111,540
4,541
4,542
22,543
16,544
26,545
12,546
14,547
37,548
31,549
8,550
53,551
34,552
26,553
10,554
2,555
8,556
31,557
4,558
35,559
21,560
4,561
29,562
51,563
2,564
26,565
34,566
4,567
225,568
27,569
86,570
6,571
4,572
38,573
6,574
6,575
25,576
57,577
8,578
8,579
4,580
14,581
33,582
10,583
35,584
101,585
4,586
8,587
52,588
116,589
51,590
32,591
14,592
4,593
12,594
32,595
28,596
32,597
22,598
4,599
34,600
25,601
77,602
46,603
8,604
8,605
6,606
24,607
170,608
12,609
34,610
2,611
12,612
10,613
118,614
22,615
14,616
8,617
4,618
18,619
32,620
10,621
38,622
8,623
24,624
8,625
17,626
2,627
2,628
10,629
16,630
26,631
87,632
42,633
20,634
6,635
22,636
4,637
4,638
2,639
8,640
28,641
2,642
2,643
4,644
10,645
4,646
6,647
25,648
8,649
8,650
53,651
74,652
44,653
45,654
10,655
6,656
2,657
10,658
30,659
10,660
31,661
16,662
4,663
8,664
4,665
65,666
37,667
30,668
4,669
6,670
40,671
63,672
37,673
19,674
76,675
6,676
78,677
4,678
2,679
6,680
6,681
44,682
41,683
29,684
6,685
2,686
20,687
2,688
45,689
24,690
14,691
47,692
2,693
16,694
2,695
4,696
72,697
10,698
18,699
34,700
40,701
10,702
2,703
89,704
4,705
12,706
22,707
20,708
57,709
32,710
36,711
12,712
14,713
6,714
10,715
