cost,episode
10,0
37,1
350,2
156,3
345,4
130,5
281,6
38,7
6,8
34,9
42,10
67,11
91,12
300,13
333,14
69,15
16,16
158,17
314,18
71,19
89,20
94,21
43,22
89,23
22,24
22,25
32,26
85,27
10,28
35,29
78,30
35,31
55,32
41,33
39,34
80,35
70,36
248,37
69,38
195,39
260,40
19,41
44,42
133,43
64,44
100,45
27,46
10,47
16,48
113,49
39,50
113,51
56,52
46,53
69,54
107,55
17,56
34,57
16,58
94,59
87,60
67,61
49,62
61,63
21,64
12,65
24,66
6,67
123,68
19,69
51,70
77,71
28,72
62,73
74,74
22,75
23,76
15,77
18,78
42,79
27,80
14,81
25,82
28,83
23,84
15,85
35,86
14,87
43,88
30,89
20,90
33,91
32,92
67,93
25,94
26,95
57,96
57,97
28,98
21,99
21,100
48,101
12,102
49,103
26,104
48,105
72,106
20,107
31,108
31,109
96,110
8,111
36,112
74,113
20,114
82,115
15,116
48,117
35,118
50,119
8,120
58,121
127,122
17,123
34,124
20,125
26,126
58,127
14,128
16,129
44,130
18,131
25,132
43,133
16,134
91,135
27,136
22,137
20,138
14,139
44,140
23,141
10,142
10,143
19,144
59,145
14,146
21,147
94,148
44,149
51,150
32,151
168,152
37,153
58,154
25,155
33,156
20,157
52,158
24,159
9,160
28,161
61,162
37,163
46,164
14,165
28,166
11,167
47,168
21,169
17,170
18,171
23,172
61,173
20,174
6,175
58,176
24,177
18,178
10,179
47,180
17,181
34,182
35,183
43,184
22,185
10,186
20,187
24,188
47,189
17,190
35,191
32,192
22,193
26,194
52,195
32,196
18,197
29,198
72,199
22,200
18,201
10,202
8,203
27,204
34,205
132,206
8,207
56,208
51,209
65,210
34,211
32,212
20,213
15,214
16,215
44,216
41,217
25,218
48,219
53,220
19,221
16,222
23,223
51,224
22,225
18,226
79,227
23,228
37,229
43,230
28,231
16,232
12,233
23,234
25,235
12,236
11,237
53,238
37,239
18,240
34,241
42,242
18,243
16,244
34,245
8,246
50,247
12,248
12,249
55,250
6,251
41,252
29,253
34,254
20,255
101,256
47,257
16,258
41,259
32,260
14,261
10,262
54,263
33,264
16,265
89,266
28,267
41,268
17,269
21,270
31,271
27,272
27,273
36,274
22,275
32,276
44,277
30,278
43,279
20,280
6,281
27,282
14,283
53,284
20,285
19,286
19,287
24,288
52,289
34,290
4,291
20,292
46,293
12,294
28,295
8,296
34,297
26,298
18,299
31,300
19,301
60,302
14,303
77,304
39,305
16,306
36,307
16,308
4,309
24,310
31,311
20,312
28,313
12,314
28,315
20,316
50,317
22,318
26,319
18,320
26,321
10,322
14,323
26,324
31,325
6,326
30,327
45,328
33,329
25,330
42,331
10,332
14,333
21,334
19,335
65,336
12,337
34,338
14,339
30,340
10,341
37,342
23,343
27,344
16,345
24,346
11,347
23,348
21,349
26,350
20,351
17,352
12,353
79,354
56,355
21,356
8,357
34,358
16,359
24,360
16,361
16,362
17,363
12,364
59,365
8,366
14,367
18,368
8,369
14,370
26,371
48,372
18,373
52,374
12,375
45,376
10,377
17,378
33,379
16,380
8,381
12,382
20,383
49,384
14,385
8,386
59,387
20,388
44,389
14,390
32,391
14,392
14,393
24,394
63,395
13,396
20,397
35,398
27,399
13,400
12,401
20,402
18,403
33,404
11,405
10,406
8,407
32,408
10,409
18,410
16,411
15,412
38,413
24,414
21,415
17,416
27,417
33,418
8,419
6,420
16,421
37,422
31,423
64,424
12,425
31,426
6,427
4,428
20,429
16,430
40,431
85,432
17,433
28,434
12,435
12,436
32,437
28,438
20,439
8,440
24,441
34,442
32,443
20,444
30,445
41,446
45,447
8,448
12,449
16,450
28,451
6,452
22,453
16,454
19,455
28,456
20,457
8,458
18,459
77,460
36,461
36,462
8,463
29,464
19,465
12,466
26,467
21,468
64,469
46,470
16,471
23,472
25,473
14,474
20,475
4,476
44,477
117,478
31,479
16,480
33,481
18,482
23,483
25,484
39,485
24,486
16,487
22,488
10,489
17,490
18,491
14,492
6,493
30,494
12,495
24,496
21,497
41,498
10,499
23,500
20,501
12,502
12,503
12,504
14,505
26,506
18,507
10,508
47,509
17,510
16,511
20,512
25,513
6,514
21,515
16,516
21,517
19,518
24,519
10,520
20,521
25,522
15,523
10,524
17,525
24,526
11,527
42,528
12,529
23,530
19,531
31,532
10,533
14,534
26,535
17,536
24,537
29,538
17,539
10,540
16,541
36,542
26,543
24,544
12,545
44,546
23,547
16,548
45,549
52,550
10,551
8,552
22,553
16,554
10,555
30,556
12,557
28,558
12,559
11,560
23,561
16,562
39,563
17,564
24,565
8,566
10,567
28,568
8,569
22,570
44,571
26,572
27,573
17,574
21,575
17,576
25,577
23,578
33,579
14,580
17,581
12,582
12,583
29,584
10,585
30,586
13,587
22,588
12,589
30,590
21,591
19,592
20,593
19,594
17,595
27,596
12,597
10,598
31,599
31,600
10,601
26,602
16,603
10,604
11,605
8,606
8,607
20,608
12,609
12,610
10,611
10,612
22,613
8,614
30,615
16,616
49,617
19,618
17,619
34,620
39,621
30,622
22,623
19,624
8,625
12,626
17,627
28,628
17,629
46,630
22,631
22,632
13,633
19,634
39,635
30,636
39,637
16,638
35,639
29,640
15,641
18,642
35,643
29,644
46,645
12,646
15,647
21,648
34,649
10,650
14,651
11,652
26,653
8,654
10,655
14,656
24,657
21,658
29,659
13,660
10,661
8,662
13,663
15,664
12,665
20,666
12,667
12,668
14,669
24,670
11,671
18,672
31,673
26,674
51,675
13,676
27,677
13,678
34,679
23,680
9,681
27,682
19,683
31,684
17,685
21,686
12,687
14,688
11,689
8,690
15,691
6,692
29,693
10,694
24,695
15,696
30,697
16,698
26,699
10,700
10,701
61,702
15,703
16,704
22,705
12,706
6,707
14,708
13,709
89,710
12,711
14,712
20,713
12,714
17,715
28,716
13,717
25,718
10,719
16,720
12,721
27,722
21,723
16,724
26,725
6,726
20,727
10,728
30,729
22,730
23,731
10,732
21,733
17,734
8,735
20,736
15,737
84,738
27,739
11,740
12,741
28,742
8,743
23,744
16,745
25,746
14,747
32,748
11,749
37,750
39,751
12,752
29,753
30,754
10,755
18,756
50,757
10,758
12,759
13,760
38,761
26,762
15,763
33,764
15,765
21,766
23,767
18,768
28,769
22,770
18,771
6,772
22,773
24,774
12,775
11,776
18,777
30,778
17,779
10,780
32,781
35,782
15,783
17,784
12,785
9,786
6,787
17,788
19,789
18,790
26,791
10,792
19,793
17,794
10,795
36,796
22,797
23,798
20,799
34,800
24,801
8,802
27,803
19,804
8,805
10,806
12,807
12,808
18,809
35,810
16,811
28,812
15,813
20,814
20,815
34,816
12,817
23,818
15,819
9,820
12,821
22,822
10,823
33,824
23,825
40,826
17,827
8,828
12,829
12,830
15,831
10,832
6,833
17,834
30,835
42,836
12,837
29,838
32,839
14,840
54,841
8,842
15,843
32,844
26,845
35,846
8,847
24,848
12,849
16,850
37,851
22,852
33,853
10,854
12,855
19,856
20,857
10,858
25,859
4,860
22,861
11,862
10,863
10,864
27,865
10,866
22,867
14,868
12,869
27,870
11,871
18,872
13,873
10,874
21,875
41,876
19,877
26,878
14,879
12,880
29,881
17,882
13,883
14,884
13,885
18,886
16,887
18,888
15,889
21,890
32,891
11,892
19,893
8,894
21,895
10,896
25,897
28,898
17,899
18,900
16,901
21,902
19,903
18,904
19,905
24,906
21,907
13,908
15,909
21,910
19,911
17,912
20,913
10,914
10,915
14,916
6,917
12,918
8,919
10,920
10,921
8,922
14,923
17,924
17,925
22,926
19,927
8,928
39,929
10,930
40,931
37,932
17,933
14,934
22,935
24,936
13,937
21,938
26,939
8,940
28,941
15,942
10,943
17,944
32,945
8,946
