cost,episode
97,0
373,1
121,2
252,3
299,4
320,5
292,6
319,7
128,8
274,9
135,10
125,11
313,12
393,13
34,14
415,15
25,16
267,17
326,18
6,19
329,20
72,21
296,22
10,23
10,24
133,25
329,26
6,27
350,28
167,29
69,30
285,31
156,32
4,33
275,34
382,35
199,36
44,37
36,38
12,39
26,40
107,41
313,42
296,43
65,44
323,45
58,46
4,47
324,48
124,49
309,50
172,51
80,52
294,53
53,54
294,55
24,56
103,57
6,58
359,59
303,60
4,61
224,62
264,63
34,64
170,65
4,66
71,67
2,68
10,69
10,70
67,71
10,72
286,73
161,74
317,75
166,76
6,77
150,78
2,79
6,80
152,81
64,82
165,83
298,84
34,85
114,86
12,87
2,88
80,89
187,90
71,91
2,92
184,93
40,94
33,95
14,96
8,97
331,98
2,99
128,100
10,101
22,102
284,103
2,104
101,105
28,106
40,107
38,108
202,109
122,110
237,111
6,112
76,113
322,114
2,115
8,116
48,117
85,118
47,119
12,120
2,121
177,122
92,123
18,124
97,125
4,126
98,127
4,128
26,129
187,130
159,131
4,132
211,133
10,134
26,135
64,136
45,137
52,138
10,139
301,140
2,141
6,142
229,143
72,144
14,145
50,146
20,147
10,148
22,149
219,150
16,151
36,152
141,153
190,154
20,155
58,156
64,157
24,158
33,159
114,160
167,161
160,162
8,163
271,164
32,165
22,166
18,167
8,168
46,169
16,170
156,171
4,172
73,173
30,174
27,175
33,176
134,177
29,178
8,179
2,180
74,181
58,182
24,183
137,184
24,185
120,186
34,187
10,188
115,189
100,190
191,191
2,192
75,193
71,194
4,195
45,196
2,197
120,198
55,199
8,200
12,201
156,202
6,203
79,204
21,205
36,206
2,207
10,208
4,209
62,210
48,211
2,212
8,213
70,214
20,215
134,216
6,217
2,218
101,219
18,220
39,221
126,222
2,223
242,224
49,225
4,226
20,227
186,228
6,229
145,230
2,231
136,232
42,233
89,234
151,235
21,236
26,237
28,238
45,239
14,240
10,241
6,242
30,243
61,244
87,245
4,246
8,247
34,248
38,249
63,250
40,251
36,252
44,253
6,254
4,255
2,256
14,257
52,258
59,259
2,260
65,261
38,262
2,263
2,264
2,265
12,266
2,267
4,268
6,269
16,270
2,271
27,272
24,273
2,274
48,275
74,276
10,277
4,278
10,279
6,280
14,281
2,282
20,283
67,284
26,285
18,286
34,287
4,288
30,289
59,290
2,291
14,292
14,293
30,294
34,295
6,296
4,297
22,298
2,299
28,300
39,301
8,302
40,303
10,304
74,305
51,306
14,307
72,308
8,309
12,310
52,311
2,312
18,313
67,314
2,315
27,316
31,317
6,318
6,319
12,320
6,321
63,322
10,323
28,324
8,325
113,326
51,327
4,328
4,329
93,330
4,331
8,332
20,333
75,334
31,335
4,336
22,337
2,338
4,339
18,340
31,341
6,342
4,343
4,344
12,345
2,346
14,347
6,348
22,349
2,350
16,351
6,352
43,353
83,354
6,355
10,356
4,357
59,358
62,359
63,360
12,361
4,362
52,363
14,364
6,365
59,366
10,367
16,368
4,369
4,370
4,371
10,372
6,373
20,374
59,375
100,376
2,377
51,378
8,379
12,380
52,381
2,382
70,383
2,384
8,385
169,386
50,387
49,388
197,389
6,390
2,391
14,392
2,393
48,394
6,395
2,396
16,397
73,398
43,399
55,400
26,401
33,402
77,403
4,404
4,405
2,406
2,407
80,408
2,409
2,410
4,411
27,412
24,413
4,414
2,415
6,416
12,417
2,418
14,419
108,420
14,421
20,422
92,423
6,424
6,425
6,426
75,427
17,428
4,429
92,430
4,431
14,432
8,433
4,434
21,435
93,436
14,437
16,438
29,439
14,440
4,441
48,442
12,443
32,444
66,445
49,446
4,447
36,448
57,449
24,450
18,451
45,452
4,453
36,454
58,455
18,456
2,457
10,458
6,459
36,460
4,461
14,462
31,463
2,464
8,465
4,466
50,467
10,468
4,469
38,470
6,471
2,472
18,473
6,474
6,475
4,476
8,477
10,478
6,479
25,480
8,481
8,482
4,483
18,484
46,485
6,486
35,487
46,488
4,489
111,490
16,491
2,492
4,493
4,494
2,495
10,496
46,497
80,498
4,499
6,500
27,501
20,502
18,503
8,504
64,505
8,506
16,507
21,508
8,509
10,510
6,511
42,512
18,513
8,514
2,515
12,516
2,517
6,518
112,519
43,520
16,521
2,522
12,523
32,524
8,525
78,526
14,527
16,528
18,529
14,530
6,531
22,532
2,533
4,534
4,535
49,536
63,537
2,538
2,539
72,540
4,541
12,542
8,543
60,544
16,545
6,546
36,547
6,548
2,549
14,550
6,551
6,552
24,553
22,554
8,555
56,556
18,557
6,558
2,559
30,560
18,561
2,562
4,563
12,564
12,565
16,566
34,567
45,568
47,569
8,570
8,571
4,572
50,573
22,574
14,575
38,576
10,577
79,578
14,579
6,580
12,581
2,582
2,583
8,584
28,585
60,586
22,587
18,588
6,589
8,590
6,591
4,592
30,593
6,594
12,595
10,596
6,597
34,598
24,599
2,600
16,601
38,602
14,603
6,604
28,605
24,606
24,607
8,608
4,609
4,610
16,611
22,612
42,613
10,614
10,615
215,616
64,617
8,618
2,619
2,620
12,621
68,622
2,623
23,624
4,625
14,626
14,627
25,628
26,629
14,630
22,631
2,632
18,633
6,634
2,635
18,636
103,637
16,638
18,639
4,640
8,641
8,642
6,643
12,644
26,645
6,646
6,647
10,648
6,649
4,650
14,651
4,652
28,653
8,654
49,655
21,656
6,657
2,658
2,659
37,660
4,661
25,662
46,663
2,664
25,665
4,666
46,667
4,668
2,669
10,670
22,671
8,672
6,673
61,674
16,675
88,676
12,677
42,678
4,679
14,680
22,681
4,682
4,683
4,684
34,685
4,686
4,687
19,688
24,689
64,690
6,691
22,692
8,693
2,694
48,695
18,696
4,697
41,698
8,699
6,700
6,701
20,702
60,703
24,704
20,705
6,706
2,707
50,708
2,709
27,710
50,711
10,712
8,713
4,714
6,715
14,716
8,717
79,718
10,719
10,720
43,721
108,722
67,723
2,724
2,725
4,726
18,727
26,728
50,729
6,730
4,731
4,732
2,733
16,734
40,735
27,736
16,737
30,738
2,739
26,740
2,741
37,742
4,743
6,744
58,745
18,746
20,747
34,748
6,749
30,750
22,751
4,752
2,753
4,754
4,755
4,756
6,757
10,758
6,759
12,760
2,761
6,762
24,763
6,764
4,765
2,766
48,767
2,768
61,769
40,770
22,771
6,772
34,773
28,774
32,775
4,776
18,777
2,778
16,779
12,780
16,781
4,782
4,783
18,784
6,785
6,786
62,787
4,788
14,789
24,790
2,791
8,792
6,793
6,794
10,795
6,796
14,797
41,798
47,799
16,800
33,801
14,802
12,803
4,804
12,805
42,806
56,807
6,808
10,809
10,810
48,811
38,812
71,813
8,814
12,815
12,816
28,817
4,818
2,819
6,820
4,821
6,822
2,823
59,824
4,825
2,826
2,827
4,828
40,829
10,830
22,831
26,832
2,833
10,834
18,835
66,836
6,837
43,838
4,839
12,840
2,841
2,842
8,843
4,844
2,845
6,846
2,847
71,848
8,849
6,850
10,851
34,852
36,853
4,854
10,855
8,856
43,857
8,858
20,859
2,860
8,861
28,862
64,863
2,864
4,865
4,866
16,867
2,868
2,869
6,870
6,871
26,872
24,873
6,874
12,875
45,876
24,877
2,878
56,879
8,880
6,881
8,882
6,883
20,884
4,885
2,886
4,887
4,888
57,889
12,890
6,891
2,892
12,893
61,894
4,895
2,896
2,897
12,898
8,899
22,900
4,901
6,902
2,903
4,904
35,905
8,906
32,907
14,908
21,909
8,910
8,911
2,912
24,913
2,914
45,915
4,916
16,917
52,918
42,919
12,920
6,921
6,922
10,923
69,924
2,925
44,926
4,927
4,928
2,929
8,930
2,931
32,932
6,933
36,934
2,935
28,936
18,937
2,938
2,939
2,940
16,941
4,942
2,943
2,944
2,945
2,946
2,947
24,948
2,949
6,950
8,951
53,952
2,953
14,954
4,955
22,956
2,957
4,958
2,959
8,960
51,961
18,962
2,963
39,964
8,965
10,966
4,967
50,968
4,969
6,970
10,971
107,972
14,973
8,974
12,975
2,976
22,977
8,978
2,979
8,980
22,981
27,982
50,983
20,984
4,985
6,986
2,987
20,988
57,989
6,990
2,991
2,992
6,993
2,994
12,995
41,996
6,997
32,998
68,999
6,1000
2,1001
33,1002
23,1003
14,1004
24,1005
2,1006
2,1007
14,1008
12,1009
2,1010
33,1011
32,1012
4,1013
6,1014
16,1015
2,1016
6,1017
30,1018
42,1019
6,1020
4,1021
10,1022
4,1023
44,1024
8,1025
43,1026
40,1027
12,1028
2,1029
2,1030
2,1031
30,1032
26,1033
38,1034
2,1035
2,1036
4,1037
6,1038
4,1039
10,1040
2,1041
18,1042
2,1043
12,1044
4,1045
6,1046
2,1047
12,1048
6,1049
40,1050
2,1051
10,1052
46,1053
16,1054
12,1055
2,1056
8,1057
12,1058
4,1059
8,1060
23,1061
2,1062
14,1063
2,1064
12,1065
4,1066
10,1067
8,1068
