cost,episode
67,0
398,1
27,2
251,3
243,4
369,5
284,6
336,7
375,8
98,9
229,10
354,11
369,12
170,13
362,14
364,15
50,16
136,17
33,18
57,19
25,20
354,21
323,22
317,23
389,24
356,25
213,26
308,27
45,28
43,29
410,30
3,31
3,32
357,33
350,34
226,35
354,36
84,37
378,38
189,39
5,40
148,41
327,42
164,43
59,44
366,45
307,46
329,47
366,48
300,49
332,50
1,51
295,52
111,53
230,54
45,55
95,56
1,57
305,58
364,59
46,60
395,61
375,62
337,63
378,64
282,65
339,66
3,67
25,68
334,69
120,70
171,71
1,72
378,73
61,74
96,75
92,76
1,77
298,78
311,79
15,80
348,81
333,82
171,83
336,84
350,85
289,86
312,87
66,88
356,89
132,90
137,91
79,92
240,93
378,94
1,95
305,96
120,97
124,98
112,99
228,100
246,101
307,102
368,103
324,104
77,105
68,106
359,107
273,108
56,109
1,110
102,111
1,112
79,113
308,114
357,115
196,116
64,117
187,118
198,119
356,120
62,121
182,122
69,123
111,124
234,125
300,126
354,127
1,128
230,129
35,130
360,131
210,132
1,133
401,134
13,135
70,136
9,137
93,138
125,139
238,140
340,141
94,142
358,143
182,144
340,145
199,146
295,147
293,148
359,149
115,150
173,151
118,152
29,153
127,154
296,155
276,156
427,157
106,158
56,159
262,160
13,161
342,162
50,163
43,164
1,165
57,166
181,167
77,168
120,169
293,170
147,171
15,172
355,173
110,174
84,175
151,176
43,177
46,178
329,179
124,180
214,181
113,182
145,183
243,184
140,185
177,186
276,187
147,188
5,189
25,190
131,191
191,192
148,193
318,194
317,195
146,196
160,197
31,198
188,199
53,200
285,201
1,202
63,203
355,204
335,205
3,206
141,207
1,208
11,209
35,210
304,211
115,212
34,213
96,214
131,215
192,216
146,217
341,218
189,219
330,220
157,221
1,222
27,223
1,224
43,225
43,226
105,227
41,228
106,229
15,230
113,231
9,232
229,233
80,234
52,235
71,236
338,237
173,238
27,239
339,240
3,241
95,242
88,243
3,244
211,245
183,246
116,247
290,248
9,249
334,250
71,251
240,252
92,253
299,254
128,255
103,256
346,257
3,258
183,259
76,260
192,261
74,262
11,263
3,264
99,265
163,266
1,267
1,268
50,269
18,270
23,271
59,272
7,273
114,274
3,275
304,276
311,277
200,278
195,279
75,280
118,281
74,282
308,283
167,284
74,285
175,286
107,287
145,288
1,289
204,290
73,291
289,292
3,293
248,294
113,295
17,296
203,297
41,298
36,299
85,300
48,301
13,302
100,303
174,304
21,305
108,306
29,307
104,308
330,309
88,310
33,311
183,312
217,313
1,314
43,315
313,316
79,317
25,318
75,319
104,320
15,321
192,322
296,323
1,324
155,325
236,326
29,327
129,328
39,329
36,330
115,331
89,332
36,333
32,334
28,335
25,336
30,337
47,338
111,339
298,340
94,341
86,342
38,343
31,344
71,345
109,346
52,347
118,348
11,349
3,350
44,351
120,352
5,353
1,354
114,355
7,356
317,357
104,358
57,359
41,360
52,361
206,362
75,363
118,364
70,365
39,366
37,367
333,368
1,369
59,370
129,371
59,372
127,373
317,374
58,375
128,376
202,377
109,378
139,379
57,380
28,381
85,382
17,383
89,384
89,385
61,386
41,387
31,388
25,389
26,390
104,391
27,392
57,393
31,394
41,395
1,396
37,397
144,398
50,399
286,400
42,401
19,402
114,403
225,404
204,405
7,406
286,407
81,408
100,409
185,410
3,411
41,412
320,413
113,414
26,415
139,416
22,417
39,418
93,419
115,420
72,421
160,422
69,423
65,424
93,425
3,426
108,427
205,428
33,429
58,430
84,431
42,432
28,433
48,434
76,435
5,436
145,437
69,438
57,439
5,440
21,441
1,442
169,443
43,444
60,445
65,446
40,447
136,448
183,449
45,450
149,451
3,452
57,453
165,454
48,455
7,456
30,457
3,458
1,459
82,460
178,461
7,462
27,463
3,464
14,465
97,466
150,467
71,468
47,469
98,470
94,471
145,472
26,473
63,474
19,475
29,476
40,477
168,478
88,479
97,480
33,481
124,482
133,483
95,484
63,485
33,486
1,487
43,488
76,489
36,490
265,491
36,492
84,493
220,494
188,495
160,496
71,497
164,498
97,499
48,500
23,501
3,502
182,503
84,504
29,505
277,506
119,507
1,508
68,509
34,510
27,511
65,512
171,513
53,514
17,515
160,516
99,517
60,518
52,519
61,520
19,521
324,522
35,523
35,524
3,525
5,526
99,527
54,528
164,529
53,530
1,531
91,532
144,533
24,534
64,535
61,536
70,537
11,538
34,539
58,540
111,541
148,542
61,543
39,544
57,545
87,546
123,547
244,548
46,549
5,550
13,551
17,552
81,553
42,554
30,555
168,556
208,557
7,558
80,559
70,560
47,561
3,562
31,563
73,564
27,565
21,566
33,567
49,568
37,569
88,570
21,571
35,572
1,573
20,574
38,575
171,576
62,577
1,578
1,579
23,580
193,581
46,582
19,583
3,584
93,585
13,586
31,587
70,588
78,589
21,590
49,591
1,592
53,593
39,594
42,595
19,596
1,597
33,598
29,599
113,600
110,601
125,602
154,603
123,604
20,605
19,606
7,607
102,608
33,609
116,610
5,611
47,612
45,613
21,614
99,615
53,616
1,617
101,618
50,619
38,620
13,621
47,622
40,623
71,624
3,625
198,626
15,627
289,628
61,629
15,630
26,631
25,632
3,633
45,634
83,635
277,636
42,637
139,638
71,639
3,640
22,641
3,642
32,643
164,644
28,645
27,646
40,647
74,648
89,649
119,650
21,651
39,652
150,653
3,654
142,655
19,656
84,657
21,658
66,659
173,660
1,661
96,662
111,663
17,664
140,665
39,666
101,667
33,668
112,669
33,670
21,671
72,672
36,673
3,674
5,675
33,676
1,677
25,678
69,679
60,680
178,681
47,682
85,683
57,684
47,685
50,686
1,687
68,688
35,689
5,690
130,691
243,692
28,693
51,694
51,695
285,696
74,697
65,698
67,699
36,700
24,701
51,702
45,703
44,704
1,705
51,706
62,707
3,708
60,709
33,710
150,711
41,712
161,713
87,714
34,715
1,716
1,717
79,718
71,719
20,720
3,721
55,722
60,723
3,724
127,725
7,726
82,727
33,728
46,729
95,730
68,731
68,732
1,733
74,734
71,735
27,736
22,737
63,738
93,739
1,740
1,741
102,742
86,743
5,744
107,745
47,746
39,747
72,748
68,749
115,750
96,751
30,752
39,753
37,754
1,755
107,756
61,757
1,758
98,759
13,760
59,761
27,762
41,763
49,764
9,765
19,766
29,767
11,768
3,769
1,770
37,771
1,772
32,773
22,774
3,775
5,776
30,777
75,778
48,779
40,780
3,781
168,782
39,783
38,784
1,785
29,786
27,787
82,788
78,789
84,790
52,791
45,792
37,793
13,794
85,795
3,796
85,797
62,798
131,799
64,800
1,801
53,802
51,803
114,804
59,805
19,806
135,807
112,808
47,809
34,810
98,811
113,812
227,813
9,814
19,815
13,816
27,817
46,818
99,819
1,820
31,821
1,822
55,823
23,824
165,825
60,826
23,827
49,828
19,829
45,830
49,831
7,832
71,833
20,834
19,835
30,836
28,837
39,838
11,839
133,840
3,841
1,842
1,843
49,844
5,845
30,846
17,847
83,848
75,849
22,850
83,851
49,852
38,853
1,854
41,855
1,856
30,857
1,858
1,859
43,860
116,861
53,862
55,863
49,864
89,865
33,866
13,867
58,868
59,869
43,870
63,871
60,872
13,873
1,874
75,875
75,876
9,877
75,878
3,879
31,880
82,881
43,882
11,883
72,884
66,885
1,886
45,887
120,888
60,889
56,890
77,891
25,892
31,893
22,894
1,895
66,896
25,897
56,898
244,899
58,900
59,901
74,902
9,903
51,904
28,905
1,906
148,907
3,908
3,909
116,910
51,911
11,912
91,913
34,914
73,915
39,916
123,917
84,918
21,919
30,920
1,921
57,922
274,923
11,924
85,925
100,926
7,927
71,928
52,929
88,930
1,931
3,932
58,933
21,934
46,935
22,936
231,937
13,938
28,939
28,940
81,941
23,942
30,943
67,944
3,945
109,946
23,947
36,948
3,949
25,950
17,951
19,952
1,953
180,954
75,955
27,956
46,957
25,958
11,959
82,960
21,961
3,962
104,963
192,964
165,965
28,966
9,967
20,968
29,969
70,970
3,971
121,972
57,973
62,974
11,975
48,976
39,977
151,978
39,979
35,980
39,981
31,982
63,983
35,984
15,985
1,986
25,987
1,988
15,989
39,990
51,991
62,992
64,993
9,994
1,995
46,996
53,997
19,998
37,999
23,1000
23,1001
226,1002
19,1003
1,1004
44,1005
129,1006
35,1007
1,1008
19,1009
59,1010
60,1011
78,1012
50,1013
68,1014
1,1015
45,1016
54,1017
29,1018
90,1019
31,1020
1,1021
76,1022
104,1023
36,1024
33,1025
42,1026
48,1027
33,1028
37,1029
30,1030
43,1031
174,1032
14,1033
21,1034
50,1035
1,1036
58,1037
32,1038
1,1039
5,1040
41,1041
34,1042
7,1043
65,1044
15,1045
51,1046
21,1047
3,1048
128,1049
104,1050
160,1051
31,1052
24,1053
64,1054
22,1055
57,1056
24,1057
32,1058
3,1059
11,1060
63,1061
59,1062
68,1063
67,1064
25,1065
98,1066
3,1067
1,1068
47,1069
116,1070
9,1071
1,1072
39,1073
51,1074
33,1075
1,1076
89,1077
25,1078
69,1079
32,1080
20,1081
25,1082
115,1083
1,1084
41,1085
19,1086
24,1087
35,1088
34,1089
109,1090
1,1091
35,1092
25,1093
53,1094
54,1095
51,1096
54,1097
138,1098
22,1099
52,1100
73,1101
131,1102
56,1103
3,1104
35,1105
34,1106
27,1107
21,1108
27,1109
174,1110
37,1111
71,1112
107,1113
24,1114
125,1115
73,1116
43,1117
15,1118
45,1119
32,1120
23,1121
33,1122
25,1123
79,1124
11,1125
23,1126
5,1127
14,1128
22,1129
57,1130
1,1131
37,1132
21,1133
53,1134
48,1135
60,1136
1,1137
86,1138
61,1139
13,1140
1,1141
1,1142
21,1143
17,1144
1,1145
15,1146
5,1147
33,1148
3,1149
58,1150
27,1151
88,1152
56,1153
1,1154
91,1155
161,1156
1,1157
21,1158
1,1159
83,1160
61,1161
80,1162
77,1163
1,1164
3,1165
1,1166
17,1167
41,1168
165,1169
18,1170
182,1171
21,1172
15,1173
23,1174
30,1175
65,1176
11,1177
37,1178
11,1179
1,1180
9,1181
42,1182
95,1183
1,1184
1,1185
36,1186
90,1187
87,1188
95,1189
82,1190
27,1191
3,1192
1,1193
3,1194
27,1195
9,1196
33,1197
1,1198
55,1199
1,1200
94,1201
52,1202
34,1203
35,1204
44,1205
95,1206
55,1207
37,1208
30,1209
5,1210
1,1211
7,1212
25,1213
19,1214
29,1215
62,1216
3,1217
27,1218
1,1219
18,1220
17,1221
17,1222
41,1223
34,1224
153,1225
13,1226
38,1227
3,1228
34,1229
50,1230
162,1231
59,1232
59,1233
34,1234
21,1235
45,1236
69,1237
17,1238
52,1239
5,1240
25,1241
81,1242
39,1243
16,1244
98,1245
32,1246
30,1247
39,1248
79,1249
40,1250
19,1251
68,1252
115,1253
41,1254
13,1255
34,1256
38,1257
19,1258
41,1259
1,1260
144,1261
146,1262
27,1263
3,1264
15,1265
18,1266
33,1267
35,1268
82,1269
1,1270
17,1271
36,1272
48,1273
36,1274
15,1275
37,1276
45,1277
3,1278
21,1279
68,1280
123,1281
41,1282
91,1283
66,1284
23,1285
1,1286
40,1287
3,1288
33,1289
17,1290
19,1291
21,1292
42,1293
136,1294
1,1295
24,1296
119,1297
25,1298
56,1299
93,1300
28,1301
19,1302
40,1303
36,1304
33,1305
73,1306
15,1307
26,1308
27,1309
131,1310
32,1311
1,1312
7,1313
29,1314
40,1315
3,1316
1,1317
17,1318
17,1319
57,1320
1,1321
5,1322
24,1323
43,1324
3,1325
21,1326
128,1327
59,1328
5,1329
221,1330
40,1331
35,1332
26,1333
21,1334
31,1335
55,1336
56,1337
43,1338
33,1339
7,1340
50,1341
99,1342
1,1343
41,1344
23,1345
13,1346
35,1347
19,1348
26,1349
15,1350
3,1351
27,1352
21,1353
31,1354
47,1355
9,1356
37,1357
31,1358
17,1359
3,1360
28,1361
7,1362
38,1363
27,1364
31,1365
25,1366
40,1367
21,1368
29,1369
35,1370
51,1371
97,1372
1,1373
46,1374
67,1375
1,1376
63,1377
1,1378
35,1379
24,1380
49,1381
58,1382
22,1383
19,1384
77,1385
31,1386
40,1387
63,1388
21,1389
80,1390
151,1391
30,1392
39,1393
11,1394
67,1395
33,1396
1,1397
73,1398
7,1399
1,1400
34,1401
26,1402
34,1403
38,1404
183,1405
3,1406
1,1407
59,1408
33,1409
3,1410
22,1411
35,1412
11,1413
17,1414
1,1415
31,1416
35,1417
1,1418
7,1419
129,1420
75,1421
9,1422
17,1423
55,1424
55,1425
68,1426
1,1427
9,1428
31,1429
49,1430
17,1431
46,1432
27,1433
1,1434
65,1435
35,1436
3,1437
67,1438
11,1439
7,1440
31,1441
48,1442
76,1443
19,1444
9,1445
1,1446
1,1447
65,1448
66,1449
21,1450
28,1451
29,1452
33,1453
33,1454
1,1455
62,1456
9,1457
19,1458
33,1459
5,1460
22,1461
3,1462
9,1463
38,1464
49,1465
29,1466
19,1467
20,1468
73,1469
13,1470
40,1471
62,1472
123,1473
15,1474
17,1475
11,1476
91,1477
119,1478
56,1479
75,1480
37,1481
19,1482
16,1483
89,1484
34,1485
52,1486
74,1487
99,1488
3,1489
69,1490
29,1491
1,1492
11,1493
45,1494
41,1495
1,1496
23,1497
3,1498
31,1499
22,1500
23,1501
17,1502
1,1503
51,1504
1,1505
70,1506
3,1507
7,1508
41,1509
74,1510
27,1511
22,1512
11,1513
27,1514
11,1515
36,1516
44,1517
40,1518
11,1519
47,1520
19,1521
29,1522
43,1523
1,1524
36,1525
7,1526
25,1527
23,1528
13,1529
5,1530
36,1531
15,1532
25,1533
37,1534
5,1535
49,1536
5,1537
5,1538
48,1539
1,1540
56,1541
25,1542
5,1543
17,1544
17,1545
43,1546
40,1547
41,1548
3,1549
48,1550
53,1551
34,1552
38,1553
28,1554
5,1555
59,1556
122,1557
3,1558
22,1559
34,1560
1,1561
51,1562
26,1563
1,1564
123,1565
15,1566
51,1567
91,1568
1,1569
66,1570
46,1571
105,1572
23,1573
19,1574
1,1575
71,1576
5,1577
3,1578
54,1579
67,1580
105,1581
33,1582
1,1583
15,1584
18,1585
58,1586
27,1587
32,1588
34,1589
23,1590
62,1591
50,1592
3,1593
3,1594
21,1595
1,1596
17,1597
17,1598
17,1599
21,1600
26,1601
3,1602
117,1603
1,1604
24,1605
31,1606
39,1607
45,1608
40,1609
15,1610
41,1611
29,1612
51,1613
19,1614
42,1615
